"CID","CanonicalSMILES","IsomericSMILES"
636405,"CC1=CC(=O)C(=CN1)C(=O)NC(C2=CC=C(C=C2)O)C(=O)NC3C4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O","CC1=CC(=O)C(=CN1)C(=O)N[C@H](C2=CC=C(C=C2)O)C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O"
637570,"CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(C2)(C(=O)OC)O","CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4[C@@](C2)(C(=O)OC)O"
638024,"C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3","C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3"
644241,"CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5","CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5"
656665,"CN1C2CCC1CC(C2)OC(=O)C3=CNC4=CC=CC=C43","CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C3=CNC4=CC=CC=C43"
656765,"CCN1C2=CC(=C(C=C2NC1=O)Cl)Cl","CCN1C2=CC(=C(C=C2NC1=O)Cl)Cl"
657237,"C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)F)N","C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)F)N"
667490,"C1=NC2=C(N1)C(=S)N=CN2","C1=NC2=C(N1)C(=S)N=CN2"
667594,"COC1=CC=CC(=C1)NC(=O)C=CC2=CC=C(C=C2)Cl","COC1=CC=CC(=C1)NC(=O)/C=C/C2=CC=C(C=C2)Cl"
672296,"C1OC2=C(O1)C=C(C=C2)C=C[N+](=O)[O-]","C1OC2=C(O1)C=C(C=C2)/C=C/[N+](=O)[O-]"
688145,"CCNC(=O)C=CC1=CC(=CC=C1)Br","CCNC(=O)/C=C/C1=CC(=CC=C1)Br"
688570,"CC(C(C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O","C[C@H]([C@H](C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O"
689043,"C1=CC(=C(C=C1C=CC(=O)O)O)O","C1=CC(=C(C=C1/C=C/C(=O)O)O)O"
691822,"CC1=C(SC=C1)C=NC2=C(C=C(C=C2)Cl)C(=O)C3=CC=CC=C3","CC1=C(SC=C1)C=NC2=C(C=C(C=C2)Cl)C(=O)C3=CC=CC=C3"
